Title,Year,Notes
The Plainsman,1966,d.- David Lowell Rich (6 1/2)
"Follow Me, Boys",1966,d.- Norman Tokar (6 1/2)
The Plague of the Zombies,1966,(BR) d.- John Gilling (6 1/2)
Cast a Giant Shadow,1966,d.- Melville Shavelson (6 1/2)
7 Women,1966,d.- John Ford (6 1/2)
A Man Could Get Killed,1966,"d.- Ronald Neame, Cliff Owen (6 1/2)"
Walk Don’t Run,1966,d.- Charles Walters (6 1/2)
After the Fox,1966,(IT-US-BR) d.- Vittorio De Sica (6 1/2)
Rasputin: The Mad Monk,1966,(BR) d.- Don Sharp (6 1/2)
The Ghost and Mr. Chicken,1966,d.- Alan Rafkin (6 1/2)
Kaleidoscope,1966,(BR) d.- Jack Smight (6 1/2)
Return of the Seven,1966,(US-SP) d.- Burt Kennedy (6 1/2)
You're a Big Boy Now,1966,d.- Francis Ford Coppola (6 1/2)
The Wild Angels,1966,d.- Roger Corman (6 1/2)
Beau Geste,1966,d.- Douglas Heyes (6 1/2)
The Appaloosa,1966,d.- Sidney J. Furie (6 1/2)
Beau Geste,1966,d.- Douglas Heyes (6 1/2)
Texas Across the River,1966,d.- Michael Gordon (6 1/2)
Island of Terror,1966,(BR) d.- Terence Fisher (6 1/2)
The Reptile,1966,(BR) d.- John Gilling (6 1/2)
Carry on Teacher,1966,(BR) d.- Gerald Thomas (6 1/2)
Carry On Screaming,1966,(BR) d.- Gerald Thomas (6 1/2)
The Adventures of Bullwhip Griffin,1966,d.- James Neilson (6 1/2)
Boy Did I Get a Wrong Number,1966,d.- George Marshall (6 1/2)
Eye of the Devil,1966,(BR) d.- J. Lee Thompson (6 1/2)
The Spy With a Cold Nose,1966,(BR) d.- Daniel Petrie (6 1/2)
Lord Love a Duck,1966,d.- George Axelrod (6 1/2)
10:30 P.M. Summer,1966,(US-SP) d.- Jules Dassin (6 1/2)
The Trygon Factor,1966,(GER-BR) d.- Cyril Frankel (6 1/2)
"Not with My Wife, You Don’t!",1966,d.- Norman Panama (6 1/2)
Night of the Grizzly,1966,d.- Joseph Pevney (6 1/2)
Assault on a Queen,1966,d.- Jack Donohue (6 1/2)
Modesty Blaise,1966,(BR) d.- Joseph Losey (6 1/2)
The Brides of Fu Manchu,1966,(BR-GER) d.- Don Sharp (6 1/2)
The Witches,1966,(BR) d.- Cyril Frankel (6 1/2)
Dead Heat on a Merry-Go-Round,1966,d.- Bernard Girard (6 1/2)
Judith,1966,(IS-BR-US) d.- Daniel Mann (6)
Picture Mommy Dead,1966,d.- Bert I. Gordon (6)
"Munster, Go Home!",1966,d.- Earl Bellamy (6)
Maya,1966,d.- John Berry (6)
Ambush Bay,1966,d.- Ron Winston (6)
Spinout,1966,d.- Norman Taurog (6)
They’re a Weird Mob,1966,(AUS-BR) d.- Michael Powell (6)
"Lt. Robinson Crusoe, U.S.N.",1966,d.- Byron Paul (6)
The Oscar,1966,d.- Russell Rouse (6)
Chappaqua,1966,(US-FR) d.- Conrad Rooks (6)
"What’s Up, Tiger Lily",1966,"(US-JAP) d.- Woody Allen, Senkichi Taniguchi"
The Graduate,1967,d.- Mike Nichols (7)
In the Heat of the Night,1967,d.- Norman Jewison (7)
Bonnie and Clyde,1967,d.- Arthur Penn (7)
In Cold Blood,1967,d.- Richard Brooks (7)
Cool Hand Luke,1967,d.- Stuart Rosenberg (7)
The Dirty Dozen,1967,d.- Robert Aldrich (6 1/2)
Guess Who's Coming to Dinner ?,1967,d.- Stanley Kramer (6 1/2)
David Holzman's Diary,1967,d.- Jim McBride (6 1/2)
Our Mother’s House,1967,(BR) d.- Jack Clayton (6 1/2)
How to Succeed in Business Without Really Trying,1967,d.- David Swift (6 1/2)
The President's Analyst,1967,d.- Theodore J. Flicker (6 1/2)
Barefoot in the Park,1967,d.- Gene Saks (6 1/2)
"To Sir, with Love",1967,(BR) d.- James Clavell (6 1/2)
Marat/Sade,1967,(BR) d.- Peter Brook (6 1/2)
Accident,1967,(BR) d.- Joseph Losey (6 1/2)
Far From the Madding Crowd,1967,(BR) d.- John Schlesinger (6 1/2)
Quatermass and the Pit,1967,(BR) d.- Roy Ward Baker (6 1/2)
Wait Until Dark,1967,d.- Terence Young (6 1/2)
Bedazzled,1967,(BR) d.- Stanley Donen (6 1/2)
The Taming of the Shrew,1967,(IT-US) d.- Franco Zeffirelli (6 1/2)
Two for the Road,1967,(BR) d.- Stanley Donen (6 1/2)
The Flim-Flam Man,1967,d.- Irvin Kershner (6 1/2)
Hombre,1967,d.- Martin Ritt (6 1/2)
The Shooting,1967,d.- Monte Hellman (6 1/2)
Up the Down Staircase,1967,d.- Robert Mulligan (6 1/2)
The Whisperers,1967,(BR) d.- Bryan Forbes (6 1/2)
The Fox,1967,d.- Mark Rydell (6 1/2)
You Only Live Twice,1967,(BR) d.- Lewis Gilbert (6 1/2)
Hour of the Gun,1967,d.- John Sturges (6 1/2)
"Divorce, American Style",1967,d.- Bud Yorkin (6 1/2)
Smashing Time,1967,(BR) d.- Desmond Davis (6 1/2)
Camelot,1967,d.- Joshua Logan (6 1/2)
Who's Minding the Mint ?,1967,d.- Howard Morris (6 1/2)
Fitzwilly,1967,d.- Delbert Mann (6 1/2)
Beach Red,1967,d.- Cornell Wilde (6 1/2)
Thoroughly Modern Millie,1967,d.- George Roy Hill (6 1/2)
I’ll Never Forget What’s’isname,1967,(BR) d.- Michael Winner (6 1/2)
Hang ‘Em High,1967,d.- Ted Post (6 1/2)
Doctor Dolittle,1967,d.- Richard Fleischer (6 1/2)
I Call First(Who’s That Knocking on My Door?),1967,d.- Martin Scorsese (6 1/2)
The St. Valentine’s Day Massacre,1967,d.- Roger Corman (6 1/2)
The Incident,1967,d.- Larry Peerce (6 1/2)
Tobruk,1967,d.- Arthur Hiller (6 1/2)
The War Wagon,1967,d.- Burt Kennedy (6 1/2)
Dutchman,1967,(BR) d.- Anthony Harvey (6 1/2)
Reflections In a Golden Eye,1967,d.- John Huston (6 1/2)
Games,1967,d.- Curtis Harrington (6 1/2)
The Incident,1967,d.- Larry Peerce (6 1/2)
Frankenstein Created Woman,1967,(BR) d.- Terence Fisher (6 1/2)
The Gnome-Mobile,1967,d.- Robert Stevenson (6 1/2)
The Countess From Hong Kong,1967,(BR-US) d.- Charles Chaplin (6 1/2)
How I Won the War,1967,(BR) d.- Richard Lester (6 1/2)
Doctor Faustus,1967,"(BR) d.- Richard Burton, Nevill Coghill (6 1/2)"
Woman Times Seven,1967,(IT-FR-US) d.- Vittorio De Sica (6 1/2)
Rough Night in Jericho,1967,d.- Arnold Laven (6 1/2)
Warning Shot,1967,d.- Buzz Kulik (6 1/2)
The Big Mouth,1967,d.- Jerry Lewis (6 1/2)
Oedipus the King,1967,(BR) d.- Philip Saville (6 1/2)
The Honeypot,1967,d.- Joseph L. Mankiewicz (6 1/2)
Deadlier Than the Male,1967,(BR) d.- Ralph Thomas (6 1/2)
In Like Flint,1967,d.- Gordon Douglas (6 1/2)
Robbery,1967,(BR) d.- Peter Yates (6 1/2)
The Tiger Makes Out,1967,d.- Arthur Hiller (6 1/2)
Valley of the Dolls,1967,d.- Mark Robson (6 1/2)
Night of the Generals,1967,(BR-FR) d.- Anatole Litvak (6 1/2)
Casino Royale,1967,"(BR) d.- K. Hughes, J. Huston, J. McGrath, R. Parrish, V. Guest (6 1/2)"
Waterhole #3,1967,d.- William A. Graham (6 1/2)
Enter Laughing,1967,d.- Carl Reiner (6 1/2)
The Way West,1967,d.- Andrew V. McLaglen (6 1/2)
The Jokers,1967,(BR) d.- Michael Winner (6 1/2)
The White Bus,1967,(BR) d.- Lindsay Anderson (6 1/2)
Hurry Sundown,1967,d.- Otto Preminger (6 1/2)
Torture Garden,1967,(BR) d.- Freddie Francis (6 1/2)
Born Losers,1967,d.- Tom Laughlin (6 1/2)
Tony Rome,1967,d.- Gordon Douglas (6 1/2)
Valley of the Dolls,1967,d.- Mark Robson (6 1/2)
The Fearless Vampire Killers,1967,d.- Roman Polanski (6 1/2)
The Comedians,1967,(US-FR) d.- Peter Glenville (6 1/2)
Eight on the Lam,1967,d.- George Marshall (6 1/2)
A Time for Killing,1967,d.- Phil Karlson (6 1/2)
Fathom,1967,(BR) d.- Leslie H. Martinson (6 1/2)
Welcome to Hard Times,1967,d.- Burt Kennedy (6 1/2)
The Happiest Millionaire,1967,d.- Norman Tokar (6 1/2)
Chuka,1967,d.- Gordon Douglas (6 1/2)
Rosie!,1967,d.- David Lowell Rich (6 1/2)
Don’t Make Waves,1967,d.- Alexander Mackendrick (6 1/2)
Night of the Big Heat,1967,(BR) d.- Terence Fisher (6 1/2)
A Covenant with Death,1967,d.- Lamont Johnson (6 1/2)
Gentle Giant,1967,d.- James Neilson (6 1/2)
The Last Challenge,1967,d.- Richard Thorpe (6 1/2)
The Bobo,1967,d.- Robert Parrish (6 1/2)
Hotel,1967,d.- Richard Quine (6 1/2)
Billion Dollar Brain,1967,(BR) d.- Ken Russell (6 1/2)
Poor Cow,1967,(BR) d.- Ken Loach (6 1/2)
The Day the Fish Came Out,1967,(GR-BR-US) d.- Mihalis Kakogiannis (6 1/2)
The Penthouse,1967,(BR) d.- Peter Collinson (6)
Crooks and Coronets,1967,(BR) d.- Jim O’Connolly (6)
The Penthouse,1967,(BR) d.- Peter Collinson (6)
Berserk,1967,(BR) d.- Jim O’Connolly (6)
Clambake,1967,d.- Arthur H. Nadel (6)
The Bandits,1967,"(US-MEX) d.- Robert Conrad, Alfredo Zacarias (6)"
The Sorcerers,1967,(BR) d.- Michael Reeves (6)
The Trip,1967,d.- Roger Corman (6 1/2)
Hell’s Angels on Wheels,1967,d.- Richard Rush (6)
The Shuttered Room,1967,(BR) d.- David Greene (6)
Ulysses,1967,(BR-US) d.- Joseph Strick (6)
Rocket to the Moon,1967,(BR) d.- Don Sharp (6)
The Sorcerers,1967,(BR) d.- Michael Reeves (6)
2001: A Space Odyssey,1968,(BR) d.- Stanley Kubrick (7)
Oliver!,1968,(BR) d.- Carol Reed (7)
The Lion in Winter,1968,(BR) d.- Anthony Harvey (7)
Once Upon a Time in the West,1968,(IT) d.- Sergio Leone (7)
Rosemary's Baby,1968,d.- Roman Polanski (7)
The Producers,1968,d.- Mel Brooks (7)
Funny Girl,1968,d.- William Wyler (7)
Romeo and Juliet,1968,(BR-IT) d.- Franco Zeffirelli (7)
Planet of the Apes,1968,d.- Franklin J. Schaffner (7)
Petulia,1968,d.- Richard Lester (7)
Night of the Living Dead,1968,d.- George A. Romero (7)
If…,1968,(BR) d.- Lindsay Anderson (7)
Faces,1968,d.- John Cassavettes (7)
"Rachel, Rachel",1968,d.- Paul Newman (6 1/2)
The Odd Couple,1968,d.- Gene Saks (6 1/2)
The Subject Was Roses,1968,d.- Ulu Grosbard (6 1/2)
The Boston Strangler,1968,d.- Richard Fleischer (6 1/2)
Bullitt,1968,d.- Peter Yates (6 1/2)
The Thomas Crown Affair,1968,d.- Norman Jewison (6 1/2)
Isadora,1968,(US-FR) d.- Karel Reisz (6 1/2)
The Fixer,1968,d.- John Frankenheimer (6 1/2)
Where Eagles Dare,1968,(BR-US) d.- Brian G. Hutton (6 1/2)
Point Blank,1968,d.- John Boorman (6 1/2)
Will Penny,1968,d.- Tom Gries (6 1/2)
Witchfinder General(The Conqueror Worm),1968,(BR) d.- Michael Reeves (6 1/2)
Targets,1968,d.- Peter Bogdanovich (6 1/2)
The Heart is a Lonely Hunter,1968,d.- Robert Ellis Miller (6 1/2)
The Charge of the Light Brigade,1968,(BR) d.- Tony  Richardson (6 1/2)
Chitty Chitty Bang Bang,1968,(BR) d.- Ken Hughes (6 1/2)
Ice Station Zebra,1968,d.- John Sturges (6 1/2)
Charly,1968,d.- Ralph Nelson (6 1/2)
The Devil Rides Out,1968,(BR) d.- Terence Fisher (6 1/2)
Pretty Poison,1968,d.- Noel Black (6 1/2)
The Swimmer,1968,d.- Frank Perry (6 1/2)
Play Dirty,1968,(BR) d.- Andre De Toth (6 1/2)
The Detective,1968,d.- Gordon Douglas (6 1/2)
Blackbeard's Ghost,1968,d.- Robert Stevenson (6 1/2)
The Night They Raided Minsky's,1968,d.- William Friedkin (6 1/2)
Interlude,1968,(BR) d.- Kevin Billington (6 1/2)
Madigan,1968,d.- Don Siegel (6 1/2)
No Way to Treat a Lady,1968,d.- Jack Smight (6 1/2)
Carry On…Up the Khyber,1968,(BR) d.- Gerald Thomas (6 1/2)
The Devil’s Brigade,1968,d.- Andrew V. McLaglen (6 1/2)
Countdown,1968,d.- Robert Altman (6 1/2)
Hot Millions,1968,(US-BR) d.- Eric Till (6 1/2)
Coogan’s Bluff,1968,d.- Don Siegel (6 1/2)
Finian’s Rainbow,1968,d.- Francis Ford Coppola (6 1/2)
For Love of Ivy,1968,d.- Daniel Mann (6 1/2)
Paper Lion,1968,d.- Alex March (6 1/2)
The Long Day’s Dying,1968,(BR) d.- Peter Collinson (6 1/2)
The Bofors Gun,1968,(BR) d.- Jack Gold (6 1/2)
The Scalphunters,1968,d.- Sydney Pollack (6 1/2)
Anzio,1968,d.- Edward Dmytryk (6 1/2)
The Power,1968,d.- Byron Haskin (6 1/2)
Seargent Ryker,1968,d.- Buzz Kulik (6 1/2)
The Love Bug,1968,d.- Robert Stevenson (6 1/2)
Sweet November,1968,d.- Robert Ellis Miller (6 1/2)
5 Card Stud,1968,d.- Henry Hathaway (6 1/2)
The Anniversary,1968,(BR) d.- Roy Ward Baker (6 1/2)
The Shoes of the Fisherman,1968,d.- Michael Anderson (6 1/2)
Jigsaw,1968,d.- James Goldstone (6 1/2)
Up the Junction,1968,(BR) d.- Peter Collinson (6 1/2)
Firecreek,1968,d.- Vincent McEveety (6 1/2)
The Sergeant,1968,d.- John Flynn (6 1/2)
The Mercenaries,1968,(BR) d.- Jack Cardiff (6 1/2)
The Hell with Heroes,1968,d.- Joseph Sargent (6 1/2)
Mayerling,1968,(FR-BR) d.- Terence Young (6 1/2)
Barbarella,1968,(FR-IT) d.- Roger Vadim (6 1/2)
Guns for San Sebastian,1968,d.- Henry Verneuil (6 1/2)
100 Rifles,1968,d.- Tom Gries (6 1/2)
The Killing of Sister George,1968,d.- Robert Aldrich (6 1/2)
Secret Ceremony,1968,(BR) d.- Joseph Losey (6 1/2)
The Impossible Years,1968,d.- Michael Gordon (6 1/2)
"Buona Sera, Mrs. Campbell",1968,d.- Melvin Frank (6 1/2)
The Secret War of Harry Frigg,1968,d.- Jack Smight (6 1/2)
Bandolero!,1968,d.- Andrew V. McLaglen (6 1/2)
"Yours, Mine and Ours",1968,d.- Melville Shavelson (6 1/2)
Where Were You When the Lights Went Out ?,1968,d.- Hy Averback (6 1/2)
Nobody Runs Forever,1968,(US-BR) d.- Ralph Thomas (6 1/2)
The Party,1968,d.- Blake Edwards (6 1/2)
Where Angels Go Trouble Follows!,1968,d.- James Neilson (6 1/2)
A Dandy in Aspic,1968,(BR) d.- Anthony Mann (6 1/2)
Bye Bye Braverman,1968,d.- Sidney Lumet (6 1/2)
Villa Rides,1968,d.- Buzz Kulik (6 1/2)
Dracula Has Risen from the Grave,1968,(BR) d.- Freddie Francis (6 1/2)
House of Cards,1968,d.- John Guillermin (6 1/2)
Lady in Cement,1968,d.- Gordon Douglas (6 1/2)
The Horse in the Gray Flannel Suit,1968,d.- Norman Tokar (6 1/2)
Hellfighters,1968,d.- Andrew V. McLaglen (6 1/2)
Day of the Evil Gun,1968,d.- Jerry Thorpe (6 1/2)
With Six You Get Eggroll,1968,d.- Howard Morris (6 1/2)
The Shakiest Gun in the West,1968,d.- Alan Rafkin (6 1/2)
Wild in the Streets,1968,d.- Barry Shear (6 1/2)
The Stalking Moon,1968,d.- Robert Mulligan (6 1/2)
Head,1968,d.- Bob Rafelson (6 1/2)
The Private Navy of Sgt. O’Farrell,1968,d.- Frank Tashlin (6 1/2)
Sebastian,1968,(BR) d.- David Greene (6 1/2)
Boom,1968,(BR) d.- Joseph Losey (6 1/2)
Shalako,1968,(BR-GER) d.- Edward Dmytryk (6 1/2)
The Sea Gull,1968,(BR-US) d.- Sidney Lumet (6 1/2)
"I Love You, Alice B. Toklas",1968,d.- Hy Averback (6 1/2)
The Green Berets,1968,"d.- Ray Kellogg, John Wayne (6 1/2)"
The Bliss of Mrs. Blossom,1968,(BR) d.- Joseph McGrath (6 1/2)
The Legend of Lylah Clare,1968,d.- Robert Aldrich (6)
Inspector Clouseau,1968,(BR) d.- Bud Yorkin (6)
The Night of the Following Day,1968,(BR-US) d.- Hubert Cornfield (6)
Custer of the West,1968,d.- Robert Siodmak (6)
Candy,1968,(FR-IT-US) d.- Christian Marquand (6)
Skidoo,1968,d.- Otto Preminger (6)
Up Tight!,1968,d.- Jules Dassin (6 1/2)
The Sweet Ride,1968,d.- Harvey Hart (6)
Psych-Out,1968,d.- Richard Rush (5 1/2)
Maryjane,1968,d.- Maury Dexter (5 1/2)
The Wild Bunch,1969,d.- Sam Peckinpah (7)
Butch Cassidy and The Sundance Kid,1969,d.- George Roy Hill (7)
Midnight Cowboy,1969,d.- John Schlesinger (7)
"They Shoot Horses, Don't They ?",1969,d.- Sydney Pollack (7)
Kes,1969,(BR) d.- Ken Loach (7)
Easy Rider,1969,d.- Dennis Hopper (7)
Medium Cool,1969,d.- Haskell Wexler (6 1/2)
The Prime of Miss Jean Brodie,1969,(BR) d.- Ronald Neame (6 1/2)
"Goodbye, Mr. Chips",1969,d.- Herbert Ross (6 1/2)
The Reivers,1969,d.- Mark Rydell (6 1/2)
Take the Money and Run,1969,d.- Woody Allen (6 1/2)
Anne of the Thousand Days,1969,(BR) d.- Charles Jarrott (6 1/2)
True Grit,1969,d.- Henry Hathaway (6 1/2)
Women in Love,1969,(BR) d.- Ken Russell (6 1/2)
Support Your Local Sheriff,1969,d.- Burt Kennedy (6 1/2)
Sweet Charity,1969,d.- Bob Fosse (6 1/2)
The Italian Job,1969,(BR) d.- Peter Collinson (6 1/2)
Hell in the Pacific,1969,d.- John Boorman (6 1/2)
Cactus Flower,1969,d.- Gene Saks (6 1/2)
Downhill Racer,1969,d.- Michael Ritchie (6 1/2)
The Sterile Cuckoo,1969,d.- Alan J. Pakula (6 1/2)
On Her Majesty’s Secret Service,1969,(BR-US) d.- Peter R. Hunt (6 1/2)
Tell Them Willie Boy is Here,1969,d.- Abraham Polonsky (6 1/2)
The Comic,1969,d.- Carl Reiner (6 1/2)
Start the Revolution Without Me,1969,d.- Bud Yorkin (6 1/2)
"Goodbye, Columbus",1969,d.- Larry Peerce (6 1/2)
Paint Your Wagon,1969,d.- Joshua Logan (6 1/2)
Battle of Britain,1969,(BR) d.- Guy Hamilton (6 1/2)
Last Summer,1969,d.- Frank Perry (6 1/2)
Alice’s Restaurant,1969,d.- Arthur Penn (6 1/2)
The Dance of Death,1969,(BR) d.- David Giles (6 1/2)
The Gypsy Moths,1969,d.- John Frankenheimer (6 1/2)
Putney Swope,1969,d.- Robert Downey Sr. (6 1/2)
Marooned,1969,d.- John Sturges (6 1/2)
The Learning Tree,1969,d.- Gordon Parks (6 1/2)
Mackenna’s Gold,1969,d.- J. Lee Thompson (6 1/2)
The Bridge at Remagen,1969,d.- John Guillermin (6 1/2)
The Undefeated,1969,d.- Andrew V. McLaglen (6 1/2)
Hello Dolly,1969,d.- Gene Kelly (6 1/2)
The Illustrated Man,1969,d.- Jack Smight (6 1/2)
Hamlet,1969,(BR) d.- Tony Richardson (6 1/2)
John and Mary,1969,d.- Peter Yates (6 1/2)
Those Daring Young Men and... Jalopies*,1969,BR-FR-IT) d.- Ken Annakin (6 1/2)
Marlowe,1969,d.- Paul Bogart (6 1/2)
Oh! What a Lovely War,1969,(BR) d.- Richard Attenborough (6 1/2)
Castle Keep,1969,d.- Sydney Pollack (6 1/2)
The Rain People,1969,d.- Francis Ford Coppola (6 1/2)
The Bed-Sitting Room,1969,(BR) d.- Richard Lester (6 1/2)
Frankenstein Must Be Destroyed,1969,(BR) d.- Terence Fisher (6 1/2)
Frankenstein Must Be Destroyed,1969,(BR) d.- Terence Fisher (6 1/2)
The April Fools,1969,d.- Stuart Rosenberg (6 1/2)
Winning,1969,d.- James R. Goldstone (6 1/2)
Bob&Carol &Ted &Alice,1969,d.- Paul Mazursky (6 1/2)
The Assassination Bureau,1969,(BR) d.- Basil Dearden (6 1/2)
The Wrecking Crew,1969,d.- Phil Karlson (6 1/2)
Death of a Gunfighter,1969,"d.- Don Siegel, Robert Totten (6 1/2)"
Topaz,1969,d.- Alfred Hitchcock (6 1/2)
The Oblong Box,1969,(BR) d.- Gordon Hessler (6 1/2)
Hannibal Brooks,1969,(BR) d.- Michael Winner (6 1/2)
The Royal Hunt of the Sun,1969,(BR-US) d.- Irving Lerner (6 1/2)
In Search of Gregory,1969,(BR-IT) d.- Peter Wood (6 1/2)
The Valley of Gwangi,1969,d.- Jim O’Connolly (6 1/2)
The Madwoman of Chaillot,1969,d.- Bryan Forbes (6 1/2)
The Reckoning,1969,(BR) d.- Jack Gold (6 1/2)
The Chairman,1969,(BR-US) d.- J. Lee Thompson (6 1/2)
More,1969,(FR-GER-LUX) d.- Barbet Schroeder (6 1/2)
Charro!,1969,d.- Charles Marquis Warren (6 1/2)
The Good Guys and the Bad Guys,1969,d.- Burt Kennedy (6 1/2)
The Bed-Sitting Room,1969,(BR) d.- Richard Lester (6 1/2)
"Run Wild, Run Free",1969,(BR) d.- Richard C. Sarafian (6 1/2)
Popi,1969,d.- Arthur Hiller (6 1/2)
The Secret of Santa Vittoria,1969,d.- Stanley Kramer (6 1/2)
The File of the Golden Goose,1969,(BR) d.- Sam Wanamaker (6 1/2)
That Cold Day in the Park,1969,(US-CAN) d.- Robert Altman (6 1/2)
Age of Consent,1969,(AUS) d.- Michael Powell (6 1/2)
Carry on Camping,1969,(BR) d.- Gerald Thomas (6 1/2)
Heaven With a Gun,1969,d.- Lee H. Katzin (6 1/2)
Some Girls Do,1969,(BR) d.- Ralph Thomas (6)
The Big Bounce,1969,d.- Alex March (6)
Young Billy Young,1969,d.- Burt Kennedy (6)
The Computer Wore Tennis Shoes,1969,d.- Robert Butler (6)
I Start Counting,1969,(BR) d.- David Greene (6)
The Magic Christian,1969,(BR) d.- Joseph McGrath (6)
Eye of the Cat,1969,d.- David Lowell Rich (6)
Sam Whiskey,1969,d.- Arnold Laven (6)
Sinful Davey,1969,(BR) d.- John Huston (6)
Three Into Two Won’t Go,1969,(BR) d.- Peter Hall (6)
Machine Gun McCain(For a Price),1969,(IT) d.- Giuliano Montaldo (6)
Coming Apart,1969,d.- Milton Moses Ginsberg (5 1/2)
Patton,1970,d.- Franklin J. Schaffner (7)
M.A.S.H.,1970,d.- Robert Altman (7)
Five Easy Pieces,1970,d.- Bob Rafelson (7)
Little Big Man,1970,d.- Arthur Penn (7)
Ryan's Daughter,1970,(BR) d.- David Lean (6 1/2)
The Go-Between,1970,(BR) d.- Joseph Losey (6 1/2)
The Railway Children,1970,(BR) d.- Lionel Jeffries (6 1/2)
Love Story,1970,d.- Arthur Hiller (6 1/2)
Tora! Tora! Tora!,1970,"(US-JAP) d.- R. Fleischer, K. Fukasaku, T. Masuda (6 1/2)"
Airport,1970,d.- George Seaton (6 1/2)
One Day in the Life of Ivan Denisovitch,1970,(BR-NOR) d.- Caspar Wrede (6 1/2)
The Ballad of Cable Hogue,1970,d.- Sam Peckinpah (6 1/2)
Julius Caesar,1970,(BR) d.- Stuart Burge (6 1/2)
I Never Sang For My Father,1970,d.- Gilbert Cates (6 1/2)
The Boys in the Band,1970,d.- William Friedkin (6 1/2)
The Last Valley,1970,(BR-US) d.- James Clavell (6 1/2)
Where's Poppa,1970,d.- Carl Reiner (6 1/2)
Kelly’s Heroes,1970,(YUG-US) d.- Brian G. Hutton (6 1/2)
The Last Valley,1970,(BR-US) d.- James Clavell (6 1/2)
A Man Called Horse,1970,d.- Elliott Silverstein (6 1/2)
The Great White Hope,1970,d.- Martin Ritt (6 1/2)
Husbands,1970,d.- John Cassavettes (6 1/2)
The Owl and the Pussycat,1970,d.- Herbert Ross (6 1/2)
Catch-22,1970,d.- Mike Nichols (6 1/2)
Performance,1970,"(BR) d.- Donald Cammell, Nicolas Roeg (6 1/2)"
Satan’s Skin (Blood on Satan’s Claw),1970,(BR) d.- Piers Haggard (6 1/2)
Scrooge,1970,(BR) d.- Ronald Neame (6 1/2)
Diary of a Mad Housewife,1970,d.- Frank Perry (6 1/2)
Two Mules for Sister Sara,1970,d.- Don Siegel (6 1/2)
Cotton Comes to Harlem,1970,d.- Ossie Davis (6 1/2)
Hoffman,1970,(BR) d.- Alvin Rakoff (6 1/2)
The Out-of-Towners,1970,d.- Arthur Hiller (6 1/2)
The Molly Maguires,1970,d.- Martin Ritt (6 1/2)
Soldier Blue,1970,d.- Ralph Nelson (6 1/2)
Zabriskie Point,1970,d.- Michaelangelo Antonioni (6 1/2)
Too Late the Hero,1970,d.- Robert Aldrich (6 1/2)
The Landlord,1970,d.- Hal Ashby (6 1/2)
The Twelve Chairs,1970,d.- Mel Brooks (6 1/2)
Something for Everyone,1970,d.- Harold Prince (6 1/2)
The Rise and Rise of Michael Rimmer,1970,(BR) d.- Kevin Billington (6 1/2)
Jane Eyre,1970,(BR) d.- Delbert Mann (6 1/2)
Wuthering Heights,1970,(BR) d.- Robert Fuest (6 1/2)
The McKenzie Break,1970,(IRE-BR) d.- Lamont Johnson (6 1/2)
They Call Me MISTER Tibbs!,1970,d.- Gordon Douglas (6 1/2)
Watermelon Man,1970,d.- Melvin Van Peebles (6 1/2)
Quackser Fortune Has a Cousin in the Bronx,1970,(IRE) d.- Waris Hussein (6 1/2)
Cromwell,1970,(BR) d.- Ken Hughes (6 1/2)
On a Clear Day You Can See Forever,1970,d.- Vincente Minnelli (6 1/2)
Beneath the Planet of the Apes,1970,d.- Ted Post (6 1/2)
Perfect Friday,1970,(BR) d.- Peter Hall (6 1/2)
The Games,1970,(BR) d.- Michael Winner (6 1/2)
Monte Walsh,1970,d.- William A. Fraker (6 1/2)
The Cheyenne Social Club,1970,d.- Gene Kelly (6 1/2)
Figures in a Landscape,1970,(BR) d.- Joseph Losey (6 1/2)
The Honeymoon Killers,1970,d.- Leonard Kastle (6 1/2)
The Baby Maker,1970,d.- James Bridges (6 1/2)
The Music Lovers,1970,(BR) d.- Ken Russell (6 1/2)
There Was a Crooked Man,1970,d.- Joseph L. Mankiewicz (6 1/2)
Three Sisters,1970,"(BR) d.- Laurence Olivier, John Sichel (6 1/2)"
WUSA,1970,d.- Stuart Rosenberg (6 1/2)
Rio Lobo,1970,d.- Howard Hawks (6 1/2)
Joe,1970,d.- John G. Avildsen (6 1/2)
The Mind of Mr. Soames,1970,(BR) d.- Alan Cooke (6 1/2)
The Hawaiians,1970,d.- Tom Gries (6 1/2)
Brewster McCloud,1970,d.- Robert Altman (6 1/2)
…tick… tick… tick…,1970,d.- Ralph Nelson (6 1/2)
